repo,username,issue_num,title,body,prediction,probability,likes,dislikes,prediction_type,logs,threshold,labeled
anonymous,anonymous,10,Add magnifying glass icon to the Miltary Symbol Editor search box like Catalog search box,"The search box for the Military Symbol Editor ""Search"" tab should have a magnifying glass icon on its right end to indicate that it is a search box. UI should parallel the Catalog pane's search box.  After you enter a character it should switch from ""search"" mode to an ""X"" to clear the search box.  ![image](https://user-images.githubusercontent.com/3801392/46557001-6fcb5600-c8b6-11e8-977e-e0fa00c419b1.png)  ![image](https://user-images.githubusercontent.com/3801392/46557066-a6a16c00-c8b6-11e8-8b1f-d32ef13ae902.png)",ui,1.000010014,7,0,people approved,,0.639999986,1
anonymous,anonymous,10,Add magnifying glass icon to the Miltary Symbol Editor search box like Catalog search box,"The search box for the Military Symbol Editor ""Search"" tab should have a magnifying glass icon on its right end to indicate that it is a search box. UI should parallel the Catalog pane's search box.  After you enter a character it should switch from ""search"" mode to an ""X"" to clear the search box.  ![image](https://user-images.githubusercontent.com/3801392/46557001-6fcb5600-c8b6-11e8-977e-e0fa00c419b1.png)  ![image](https://user-images.githubusercontent.com/3801392/46557066-a6a16c00-c8b6-11e8-8b1f-d32ef13ae902.png)",enhancement,1.000010014,7,0,people approved,,0.939999998,1
anonymous,anonymous,10,Add magnifying glass icon to the Miltary Symbol Editor search box like Catalog search box,"The search box for the Military Symbol Editor ""Search"" tab should have a magnifying glass icon on its right end to indicate that it is a search box. UI should parallel the Catalog pane's search box.  After you enter a character it should switch from ""search"" mode to an ""X"" to clear the search box.  ![image](https://user-images.githubusercontent.com/3801392/46557001-6fcb5600-c8b6-11e8-977e-e0fa00c419b1.png)  ![image](https://user-images.githubusercontent.com/3801392/46557066-a6a16c00-c8b6-11e8-8b1f-d32ef13ae902.png)",design,1.000010014,7,0,people approved,,0.790000022,1
anonymous,anonymous,10,Add magnifying glass icon to the Miltary Symbol Editor search box like Catalog search box,"The search box for the Military Symbol Editor ""Search"" tab should have a magnifying glass icon on its right end to indicate that it is a search box. UI should parallel the Catalog pane's search box.  After you enter a character it should switch from ""search"" mode to an ""X"" to clear the search box.  ![image](https://user-images.githubusercontent.com/3801392/46557001-6fcb5600-c8b6-11e8-977e-e0fa00c419b1.png)  ![image](https://user-images.githubusercontent.com/3801392/46557066-a6a16c00-c8b6-11e8-8b1f-d32ef13ae902.png)",bug,0.826721788,6,0,people approved,,0.939999998,0
anonymous,anonymous,10,Add magnifying glass icon to the Miltary Symbol Editor search box like Catalog search box,"The search box for the Military Symbol Editor ""Search"" tab should have a magnifying glass icon on its right end to indicate that it is a search box. UI should parallel the Catalog pane's search box.  After you enter a character it should switch from ""search"" mode to an ""X"" to clear the search box.  ![image](https://user-images.githubusercontent.com/3801392/46557001-6fcb5600-c8b6-11e8-977e-e0fa00c419b1.png)  ![image](https://user-images.githubusercontent.com/3801392/46557066-a6a16c00-c8b6-11e8-8b1f-d32ef13ae902.png)",client,0.115970723,6,0,people approved,,0.689999998,0
anonymous,anonymous,10,Add magnifying glass icon to the Miltary Symbol Editor search box like Catalog search box,"The search box for the Military Symbol Editor ""Search"" tab should have a magnifying glass icon on its right end to indicate that it is a search box. UI should parallel the Catalog pane's search box.  After you enter a character it should switch from ""search"" mode to an ""X"" to clear the search box.  ![image](https://user-images.githubusercontent.com/3801392/46557001-6fcb5600-c8b6-11e8-977e-e0fa00c419b1.png)  ![image](https://user-images.githubusercontent.com/3801392/46557066-a6a16c00-c8b6-11e8-8b1f-d32ef13ae902.png)",database,0.000949944,6,0,people approved,,0.419999987,0
anonymous,anonymous,10,Add magnifying glass icon to the Miltary Symbol Editor search box like Catalog search box,"The search box for the Military Symbol Editor ""Search"" tab should have a magnifying glass icon on its right end to indicate that it is a search box. UI should parallel the Catalog pane's search box.  After you enter a character it should switch from ""search"" mode to an ""X"" to clear the search box.  ![image](https://user-images.githubusercontent.com/3801392/46557001-6fcb5600-c8b6-11e8-977e-e0fa00c419b1.png)  ![image](https://user-images.githubusercontent.com/3801392/46557066-a6a16c00-c8b6-11e8-8b1f-d32ef13ae902.png)",question,0.00001,6,0,people approved,,0.550000012,0
anonymous,anonymous,10,Add magnifying glass icon to the Miltary Symbol Editor search box like Catalog search box,"The search box for the Military Symbol Editor ""Search"" tab should have a magnifying glass icon on its right end to indicate that it is a search box. UI should parallel the Catalog pane's search box.  After you enter a character it should switch from ""search"" mode to an ""X"" to clear the search box.  ![image](https://user-images.githubusercontent.com/3801392/46557001-6fcb5600-c8b6-11e8-977e-e0fa00c419b1.png)  ![image](https://user-images.githubusercontent.com/3801392/46557066-a6a16c00-c8b6-11e8-8b1f-d32ef13ae902.png)",security,0.00001,5,0,people approved,,0.819999993,0
anonymous,anonymous,10,Add magnifying glass icon to the Miltary Symbol Editor search box like Catalog search box,"The search box for the Military Symbol Editor ""Search"" tab should have a magnifying glass icon on its right end to indicate that it is a search box. UI should parallel the Catalog pane's search box.  After you enter a character it should switch from ""search"" mode to an ""X"" to clear the search box.  ![image](https://user-images.githubusercontent.com/3801392/46557001-6fcb5600-c8b6-11e8-977e-e0fa00c419b1.png)  ![image](https://user-images.githubusercontent.com/3801392/46557066-a6a16c00-c8b6-11e8-8b1f-d32ef13ae902.png)",performance,0.00001,5,0,people approved,,0.330000013,0
anonymous,anonymous,10,Add magnifying glass icon to the Miltary Symbol Editor search box like Catalog search box,"The search box for the Military Symbol Editor ""Search"" tab should have a magnifying glass icon on its right end to indicate that it is a search box. UI should parallel the Catalog pane's search box.  After you enter a character it should switch from ""search"" mode to an ""X"" to clear the search box.  ![image](https://user-images.githubusercontent.com/3801392/46557001-6fcb5600-c8b6-11e8-977e-e0fa00c419b1.png)  ![image](https://user-images.githubusercontent.com/3801392/46557066-a6a16c00-c8b6-11e8-8b1f-d32ef13ae902.png)",document,0.00001,5,0,people approved,,0.610000014,0
anonymous,anonymous,10,Add magnifying glass icon to the Miltary Symbol Editor search box like Catalog search box,"The search box for the Military Symbol Editor ""Search"" tab should have a magnifying glass icon on its right end to indicate that it is a search box. UI should parallel the Catalog pane's search box.  After you enter a character it should switch from ""search"" mode to an ""X"" to clear the search box.  ![image](https://user-images.githubusercontent.com/3801392/46557001-6fcb5600-c8b6-11e8-977e-e0fa00c419b1.png)  ![image](https://user-images.githubusercontent.com/3801392/46557066-a6a16c00-c8b6-11e8-8b1f-d32ef13ae902.png)",server,0.00001,5,0,people approved,,0.800000012,0
anonymous,anonymous,12,"[GUI] Device list is not sorted, even though the response is sorted","**Steps to reproduce the problem**: access the list of devices    - 6 devices per page:  ![image](https://user-images.githubusercontent.com/37310063/42708057-70956f62-86b2-11e8-97a4-7dc2a3e0dd5f.png)    - 12 devices per page:  ![image](https://user-images.githubusercontent.com/37310063/42708123-9fcd3f6c-86b2-11e8-976e-9334094b034c.png)    - 18 devices per page:  ![lista_devices](https://user-images.githubusercontent.com/37310063/42708148-bc55fdea-86b2-11e8-915b-13151c0d0545.png)    **Expected behavior**: list of devices must be ordered    **Affected Version**: 0.3.0-nightly20180712    **Environment**: docker-compose, server 10.4.1.41 (vali)    **Browser**: Google Chrome version 67.0.3396.99",client,1.000010014,4,3,people approved,,0.689999998,1
anonymous,anonymous,12,"[GUI] Device list is not sorted, even though the response is sorted","**Steps to reproduce the problem**: access the list of devices    - 6 devices per page:  ![image](https://user-images.githubusercontent.com/37310063/42708057-70956f62-86b2-11e8-97a4-7dc2a3e0dd5f.png)    - 12 devices per page:  ![image](https://user-images.githubusercontent.com/37310063/42708123-9fcd3f6c-86b2-11e8-976e-9334094b034c.png)    - 18 devices per page:  ![lista_devices](https://user-images.githubusercontent.com/37310063/42708148-bc55fdea-86b2-11e8-915b-13151c0d0545.png)    **Expected behavior**: list of devices must be ordered    **Affected Version**: 0.3.0-nightly20180712    **Environment**: docker-compose, server 10.4.1.41 (vali)    **Browser**: Google Chrome version 67.0.3396.99",server,1.000010014,1,6,people disapproved,,0.800000012,1
anonymous,anonymous,12,"[GUI] Device list is not sorted, even though the response is sorted","**Steps to reproduce the problem**: access the list of devices    - 6 devices per page:  ![image](https://user-images.githubusercontent.com/37310063/42708057-70956f62-86b2-11e8-97a4-7dc2a3e0dd5f.png)    - 12 devices per page:  ![image](https://user-images.githubusercontent.com/37310063/42708123-9fcd3f6c-86b2-11e8-976e-9334094b034c.png)    - 18 devices per page:  ![lista_devices](https://user-images.githubusercontent.com/37310063/42708148-bc55fdea-86b2-11e8-915b-13151c0d0545.png)    **Expected behavior**: list of devices must be ordered    **Affected Version**: 0.3.0-nightly20180712    **Environment**: docker-compose, server 10.4.1.41 (vali)    **Browser**: Google Chrome version 67.0.3396.99",bug,1.000010014,7,0,people approved,,0.939999998,1
anonymous,anonymous,12,"[GUI] Device list is not sorted, even though the response is sorted","**Steps to reproduce the problem**: access the list of devices    - 6 devices per page:  ![image](https://user-images.githubusercontent.com/37310063/42708057-70956f62-86b2-11e8-97a4-7dc2a3e0dd5f.png)    - 12 devices per page:  ![image](https://user-images.githubusercontent.com/37310063/42708123-9fcd3f6c-86b2-11e8-976e-9334094b034c.png)    - 18 devices per page:  ![lista_devices](https://user-images.githubusercontent.com/37310063/42708148-bc55fdea-86b2-11e8-915b-13151c0d0545.png)    **Expected behavior**: list of devices must be ordered    **Affected Version**: 0.3.0-nightly20180712    **Environment**: docker-compose, server 10.4.1.41 (vali)    **Browser**: Google Chrome version 67.0.3396.99",ui,0.014513583,3,3,bot disapproved,,0.639999986,0
anonymous,anonymous,12,"[GUI] Device list is not sorted, even though the response is sorted","**Steps to reproduce the problem**: access the list of devices    - 6 devices per page:  ![image](https://user-images.githubusercontent.com/37310063/42708057-70956f62-86b2-11e8-97a4-7dc2a3e0dd5f.png)    - 12 devices per page:  ![image](https://user-images.githubusercontent.com/37310063/42708123-9fcd3f6c-86b2-11e8-976e-9334094b034c.png)    - 18 devices per page:  ![lista_devices](https://user-images.githubusercontent.com/37310063/42708148-bc55fdea-86b2-11e8-915b-13151c0d0545.png)    **Expected behavior**: list of devices must be ordered    **Affected Version**: 0.3.0-nightly20180712    **Environment**: docker-compose, server 10.4.1.41 (vali)    **Browser**: Google Chrome version 67.0.3396.99",question,0.008857356,6,0,people approved,,0.550000012,0
anonymous,anonymous,12,"[GUI] Device list is not sorted, even though the response is sorted","**Steps to reproduce the problem**: access the list of devices    - 6 devices per page:  ![image](https://user-images.githubusercontent.com/37310063/42708057-70956f62-86b2-11e8-97a4-7dc2a3e0dd5f.png)    - 12 devices per page:  ![image](https://user-images.githubusercontent.com/37310063/42708123-9fcd3f6c-86b2-11e8-976e-9334094b034c.png)    - 18 devices per page:  ![lista_devices](https://user-images.githubusercontent.com/37310063/42708148-bc55fdea-86b2-11e8-915b-13151c0d0545.png)    **Expected behavior**: list of devices must be ordered    **Affected Version**: 0.3.0-nightly20180712    **Environment**: docker-compose, server 10.4.1.41 (vali)    **Browser**: Google Chrome version 67.0.3396.99",enhancement,0.004478384,6,0,people approved,,0.939999998,0
anonymous,anonymous,12,"[GUI] Device list is not sorted, even though the response is sorted","**Steps to reproduce the problem**: access the list of devices    - 6 devices per page:  ![image](https://user-images.githubusercontent.com/37310063/42708057-70956f62-86b2-11e8-97a4-7dc2a3e0dd5f.png)    - 12 devices per page:  ![image](https://user-images.githubusercontent.com/37310063/42708123-9fcd3f6c-86b2-11e8-976e-9334094b034c.png)    - 18 devices per page:  ![lista_devices](https://user-images.githubusercontent.com/37310063/42708148-bc55fdea-86b2-11e8-915b-13151c0d0545.png)    **Expected behavior**: list of devices must be ordered    **Affected Version**: 0.3.0-nightly20180712    **Environment**: docker-compose, server 10.4.1.41 (vali)    **Browser**: Google Chrome version 67.0.3396.99",database,0.00001,6,0,people approved,,0.419999987,0
anonymous,anonymous,12,"[GUI] Device list is not sorted, even though the response is sorted","**Steps to reproduce the problem**: access the list of devices    - 6 devices per page:  ![image](https://user-images.githubusercontent.com/37310063/42708057-70956f62-86b2-11e8-97a4-7dc2a3e0dd5f.png)    - 12 devices per page:  ![image](https://user-images.githubusercontent.com/37310063/42708123-9fcd3f6c-86b2-11e8-976e-9334094b034c.png)    - 18 devices per page:  ![lista_devices](https://user-images.githubusercontent.com/37310063/42708148-bc55fdea-86b2-11e8-915b-13151c0d0545.png)    **Expected behavior**: list of devices must be ordered    **Affected Version**: 0.3.0-nightly20180712    **Environment**: docker-compose, server 10.4.1.41 (vali)    **Browser**: Google Chrome version 67.0.3396.99",security,0.00001,6,0,people approved,,0.819999993,0
anonymous,anonymous,12,"[GUI] Device list is not sorted, even though the response is sorted","**Steps to reproduce the problem**: access the list of devices    - 6 devices per page:  ![image](https://user-images.githubusercontent.com/37310063/42708057-70956f62-86b2-11e8-97a4-7dc2a3e0dd5f.png)    - 12 devices per page:  ![image](https://user-images.githubusercontent.com/37310063/42708123-9fcd3f6c-86b2-11e8-976e-9334094b034c.png)    - 18 devices per page:  ![lista_devices](https://user-images.githubusercontent.com/37310063/42708148-bc55fdea-86b2-11e8-915b-13151c0d0545.png)    **Expected behavior**: list of devices must be ordered    **Affected Version**: 0.3.0-nightly20180712    **Environment**: docker-compose, server 10.4.1.41 (vali)    **Browser**: Google Chrome version 67.0.3396.99",performance,0.00001,6,0,people approved,,0.330000013,0
anonymous,anonymous,12,"[GUI] Device list is not sorted, even though the response is sorted","**Steps to reproduce the problem**: access the list of devices    - 6 devices per page:  ![image](https://user-images.githubusercontent.com/37310063/42708057-70956f62-86b2-11e8-97a4-7dc2a3e0dd5f.png)    - 12 devices per page:  ![image](https://user-images.githubusercontent.com/37310063/42708123-9fcd3f6c-86b2-11e8-976e-9334094b034c.png)    - 18 devices per page:  ![lista_devices](https://user-images.githubusercontent.com/37310063/42708148-bc55fdea-86b2-11e8-915b-13151c0d0545.png)    **Expected behavior**: list of devices must be ordered    **Affected Version**: 0.3.0-nightly20180712    **Environment**: docker-compose, server 10.4.1.41 (vali)    **Browser**: Google Chrome version 67.0.3396.99",document,0.00001,6,0,people approved,,0.610000014,0
anonymous,anonymous,12,"[GUI] Device list is not sorted, even though the response is sorted","**Steps to reproduce the problem**: access the list of devices    - 6 devices per page:  ![image](https://user-images.githubusercontent.com/37310063/42708057-70956f62-86b2-11e8-97a4-7dc2a3e0dd5f.png)    - 12 devices per page:  ![image](https://user-images.githubusercontent.com/37310063/42708123-9fcd3f6c-86b2-11e8-976e-9334094b034c.png)    - 18 devices per page:  ![lista_devices](https://user-images.githubusercontent.com/37310063/42708148-bc55fdea-86b2-11e8-915b-13151c0d0545.png)    **Expected behavior**: list of devices must be ordered    **Affected Version**: 0.3.0-nightly20180712    **Environment**: docker-compose, server 10.4.1.41 (vali)    **Browser**: Google Chrome version 67.0.3396.99",design,0.00001,6,0,people approved,,0.790000022,0
anonymous,anonymous,13,[Bug] No validation on UA response status.,We are not validating in any way that UA returns 200 when sending events.___ Add a validation and return the potential error message from the UA service.,bug,1.000010014,7,0,people approved,,0.939999998,1
anonymous,anonymous,13,[Bug] No validation on UA response status.,We are not validating in any way that UA returns 200 when sending events.___ Add a validation and return the potential error message from the UA service.,enhancement,0.989023089,7,0,people approved,,0.939999998,1
anonymous,anonymous,13,[Bug] No validation on UA response status.,We are not validating in any way that UA returns 200 when sending events.___ Add a validation and return the potential error message from the UA service.,server,0.196836218,1,5,people disapproved,,0.800000012,0
anonymous,anonymous,13,[Bug] No validation on UA response status.,We are not validating in any way that UA returns 200 when sending events.___ Add a validation and return the potential error message from the UA service.,security,0.010338152,6,0,people approved,,0.819999993,0
anonymous,anonymous,13,[Bug] No validation on UA response status.,We are not validating in any way that UA returns 200 when sending events.___ Add a validation and return the potential error message from the UA service.,question,0.009422591,6,0,people approved,,0.550000012,0
anonymous,anonymous,13,[Bug] No validation on UA response status.,We are not validating in any way that UA returns 200 when sending events.___ Add a validation and return the potential error message from the UA service.,client,0.00001,6,0,people approved,,0.689999998,0
anonymous,anonymous,13,[Bug] No validation on UA response status.,We are not validating in any way that UA returns 200 when sending events.___ Add a validation and return the potential error message from the UA service.,database,0.00001,6,0,people approved,,0.419999987,0
anonymous,anonymous,13,[Bug] No validation on UA response status.,We are not validating in any way that UA returns 200 when sending events.___ Add a validation and return the potential error message from the UA service.,performance,0.00001,6,0,people approved,,0.330000013,0
anonymous,anonymous,13,[Bug] No validation on UA response status.,We are not validating in any way that UA returns 200 when sending events.___ Add a validation and return the potential error message from the UA service.,document,0.00001,6,0,people approved,,0.610000014,0
anonymous,anonymous,13,[Bug] No validation on UA response status.,We are not validating in any way that UA returns 200 when sending events.___ Add a validation and return the potential error message from the UA service.,design,0.00001,6,0,people approved,,0.790000022,0
anonymous,anonymous,13,[Bug] No validation on UA response status.,We are not validating in any way that UA returns 200 when sending events.___ Add a validation and return the potential error message from the UA service.,ui,0.00001,6,0,people approved,,0.639999986,0
anonymous,anonymous,14,Updates breadcrumbs are not working properly,"Just noticed that when I read a Record article on a court case, and click the breadcrumb at the top that is labeled FEC Record - Litigation, it takes me to   https://www.fec.gov/updates/?record-category=litigation    Which seems right, but what is generated is a really random list of a bunch of news items, and not all of them are about litigation or are Record articles.    The breadcrumb should point to https://www.fec.gov/updates/?update_type=fec-record&category=litigation    **To Do**  - [ ] Fix the breadcrumbs for the Record category mentioned above and the other Record categories.  - [ ] Research if this affects other breadcrumbs for categories in updates for Record, tips, Press Releases and Weekly Digests.  - [ ] Fix any other categories as needed.  ",bug,1.000010014,7,0,people approved,,0.939999998,1
anonymous,anonymous,14,Updates breadcrumbs are not working properly,"Just noticed that when I read a Record article on a court case, and click the breadcrumb at the top that is labeled FEC Record - Litigation, it takes me to   https://www.fec.gov/updates/?record-category=litigation    Which seems right, but what is generated is a really random list of a bunch of news items, and not all of them are about litigation or are Record articles.    The breadcrumb should point to https://www.fec.gov/updates/?update_type=fec-record&category=litigation    **To Do**  - [ ] Fix the breadcrumbs for the Record category mentioned above and the other Record categories.  - [ ] Research if this affects other breadcrumbs for categories in updates for Record, tips, Press Releases and Weekly Digests.  - [ ] Fix any other categories as needed.  ",client,0.890304267,2,5,people disapproved,,0.689999998,1
anonymous,anonymous,14,Updates breadcrumbs are not working properly,"Just noticed that when I read a Record article on a court case, and click the breadcrumb at the top that is labeled FEC Record - Litigation, it takes me to   https://www.fec.gov/updates/?record-category=litigation    Which seems right, but what is generated is a really random list of a bunch of news items, and not all of them are about litigation or are Record articles.    The breadcrumb should point to https://www.fec.gov/updates/?update_type=fec-record&category=litigation    **To Do**  - [ ] Fix the breadcrumbs for the Record category mentioned above and the other Record categories.  - [ ] Research if this affects other breadcrumbs for categories in updates for Record, tips, Press Releases and Weekly Digests.  - [ ] Fix any other categories as needed.  ",question,0.798196793,0,7,manually unlabeled,,0.550000012,1
anonymous,anonymous,14,Updates breadcrumbs are not working properly,"Just noticed that when I read a Record article on a court case, and click the breadcrumb at the top that is labeled FEC Record - Litigation, it takes me to   https://www.fec.gov/updates/?record-category=litigation    Which seems right, but what is generated is a really random list of a bunch of news items, and not all of them are about litigation or are Record articles.    The breadcrumb should point to https://www.fec.gov/updates/?update_type=fec-record&category=litigation    **To Do**  - [ ] Fix the breadcrumbs for the Record category mentioned above and the other Record categories.  - [ ] Research if this affects other breadcrumbs for categories in updates for Record, tips, Press Releases and Weekly Digests.  - [ ] Fix any other categories as needed.  ",enhancement,0.085109055,6,0,people approved,,0.939999998,0
