,F1,,,,,,Accuracy,,,,,,Recall,,,,,,Precision,,,,,
,BR+RandomForest,BR+SVM,BR+kNN,textCNN,textRNN,MULA,BR+RandomForest,BR+SVM,BR+kNN,textCNN,textRNN,MULA,BR+RandomForest,BR+SVM,BR+kNN,textCNN,textRNN,MULA,BR+RandomForest,BR+SVM,BR+kNN,textCNN,textRNN,MULA
bug,65.57%,79.19%,59.16%,75.19%,78.58%,78.41%,71.11%,81.59%,64.04%,77.24%,80.59%,77.75%,61.39%,78.15%,58.12%,76.95%,79.46%,90.14%,70.37%,80.25%,60.24%,73.50%,77.72%,69.37%
enhancement,79.93%,83.80%,73.27%,79.20%,82.98%,82.64%,71.75%,78.86%,65.48%,74.28%,77.75%,74.81%,89.01%,86.48%,74.84%,77.48%,85.85%,95.21%,72.54%,81.28%,71.76%,81.00%,80.30%,73.08%
question,12.14%,11.62%,22.91%,34.31%,45.25%,55.00%,85.98%,85.74%,80.09%,87.19%,85.50%,87.19%,6.54%,6.34%,20.00%,22.61%,40.50%,52.88%,83.60%,69.86%,26.82%,71.09%,51.26%,57.29%
ui,55.19%,80.30%,53.63%,78.31%,80.95%,82.51%,75.20%,87.94%,68.13%,84.51%,87.16%,87.76%,44.23%,71.15%,53.37%,80.98%,78.99%,83.61%,73.37%,92.14%,53.89%,75.81%,83.00%,81.45%
design,40.17%,77.44%,45.41%,65.85%,75.71%,75.33%,74.30%,87.08%,69.19%,80.12%,84.20%,82.97%,27.63%,71.02%,41.03%,61.38%,78.85%,83.30%,73.52%,85.15%,50.83%,71.01%,72.82%,68.76%
database,15.10%,89.59%,21.34%,74.89%,88.14%,90.11%,91.73%,98.29%,88.39%,94.63%,97.95%,98.29%,8.17%,81.81%,17.51%,89.10%,84.81%,86.52%,99.17%,99.01%,27.31%,64.59%,91.75%,94.01%
client,24.26%,68.83%,38.98%,62.10%,71.30%,73.71%,74.45%,85.91%,69.61%,70.86%,85.24%,85.67%,14.29%,54.31%,33.90%,83.37%,64.03%,70.17%,80.19%,93.93%,45.85%,49.48%,80.43%,77.63%
server,29.96%,72.41%,40.79%,70.07%,73.39%,76.19%,75.77%,87.63%,68.73%,85.28%,86.34%,87.06%,18.70%,58.55%,38.87%,62.19%,67.96%,74.71%,75.27%,94.88%,42.91%,80.23%,79.76%,77.74%
document,20.58%,77.93%,29.43%,73.38%,76.62%,80.44%,87.61%,94.82%,83.49%,92.77%,93.96%,95.01%,11.53%,65.73%,24.73%,71.54%,71.01%,73.74%,95.97%,95.71%,36.35%,75.31%,83.20%,88.49%
security,23.98%,73.36%,28.75%,66.76%,70.74%,74.30%,95.42%,97.64%,93.87%,97.00%,97.30%,97.37%,13.80%,61.99%,23.63%,57.54%,62.34%,72.51%,91.47%,89.83%,36.73%,79.48%,81.75%,76.17%
performance,11.57%,73.87%,24.88%,71.32%,76.80%,75.80%,88.10%,94.56%,83.31%,92.44%,94.66%,94.38%,6.17%,60.87%,21.89%,74.47%,70.00%,69.81%,93.38%,93.93%,28.82%,68.42%,85.07%,82.93%
Micro,53.86%,76.63%,50.78%,71.51%,76.84%,78.09%,81.04%,89.10%,75.85%,85.12%,88.24%,88.02%,42.62%,68.81%,47.97%,71.90%,75.09%,82.16%,73.17%,86.45%,53.94%,71.12%,78.66%,74.40%
Macro,34.41%,71.67%,39.87%,68.31%,74.59%,76.77%,81.04%,89.10%,75.85%,85.12%,88.24%,88.02%,27.41%,63.31%,37.08%,68.87%,71.25%,77.51%,82.62%,88.72%,43.77%,71.81%,78.82%,76.99%
